COURSECODE,REVISIONCODE,SECTION,STUDYCODE,STUDENTCODE,CLASSCHECK,
PAD451,1,20,C,661107861,",,,,,,,,,,,,,,,,,",
PAD231,1,20,C,661107861,"A,P,P,A,P,P,P,S,,,A,P,P,P,P,,,",
PAD302,1,20,C,661107861,"A,P,A,,P,P,,,,,L,L,,,,,,,",
PAD401,3,20,C,661107861,"A,P,P,P,P,A,P,P,,,P,P,S,P,P,,,",
PAD451,1,20,C,661108045,",,,,,,,,,,,,,,,,,",
PAD302,1,20,C,661108045,"P,P,P,,P,P,P,P,,,P,L,P,,,,,,",
PAD362,1,20,C,661108045,"P,P,P,P,P,P,P,P,P,,,P,P,P,P,,,,",
PAD366,2,20,C,661108045,"P,,P,P,,P,P,A,,,P,P,P,,,,,",
PAD401,3,20,C,661108045,"P,A,P,P,P,P,S,P,,,P,P,P,P,P,,,",
PAD451,1,20,C,661108095,",,,,,,,,,,,,,,,,,",
PAD302,1,20,C,661108095,"A,P,P,,P,P,,,,,A,A,S,,,,,,",
PAD362,1,20,C,661108095,"A,P,P,P,P,P,A,P,A,,,A,A,P,P,,,,",
PAD366,2,20,C,661108095,"A,,P,P,,,,P,,,A,P,P,,,,,",
PAD401,3,20,C,661108095,"A,P,P,P,P,P,S,P,,,A,A,P,P,P,,,",
DIMA301,1,50,C,651203364,",,,,L,,L,,L,,L,,L,,",
MAI485,1,55,C,651203364,",,,,,,,,,,,,,,,,",
DMA483,1,55,C,651203542,"P,P,P,P,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
DMA483,1,55,L,651203542,",,,,,,,,,,,,,,,,,,,,,,,,",
DIMA301,1,50,C,651204174,"P,,A,,P,,L,,P,,P,,P,,",
ITD492,1,60,C,651204174,"P,,P,,P,,",
ITD331,1,365,C,651204174,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,",
IDT454,1,365,C,651204174,"P,,,,,,,,,,,,,,",
IDT454,1,365,L,651204174,",,,,,,,",
DMA483,1,55,C,651204205,"P,P,P,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
DMA483,1,55,L,651204205,",,,,,,,,,,,,,,,,,,,,,,,,",
COM101,1,3,C,681101403,"P,P,P,P,P,P,,,,,,,,,,,,",
COM101,1,3,L,681101403,"P,P,P,P,P,P,,,,,,,,,,,,",
DIMA106,1,1,C,681101403,"P,P,P,P,P,P,P,P,P,P,P,P,,,,,,",
DIMA106,1,1,L,681101403,",,,,,,,,,,,,,,,,,",
ENG102,1,3,C,681101403,"P,P,P,P,P,P,P,P,,,P,P,P,P,,P,,",
SOC001,2,4,C,681101403,",,,,,,,,,,,,,,,,,",
COM101,1,4,C,681101429,",,,,,,,,,,,,,,,,,",
COM101,1,4,L,681101429,",,,,,,,,,,,,,,,,,",
ENG102,1,3,C,681101429,"P,P,P,A,A,,P,P,,,P,S,P,S,,P,,",
ITD102,1,1,C,681101429,"P,P,P,P,P,P,P,P,,P,P,P,P,P,P,P,,,",
ITD102,1,1,L,681101429,",,,,,,,,,,,,,,,,,,",
ITD211,1,1,C,681101429,"P,P,P,P,L,P,P,S,,,P,P,P,P,P,,,",
ITD470,1,1,C,681101429,"P,P,P,P,P,P,P,P,,,P,P,P,P,P,,,",
MAT201,1,1,C,681101429,"P,P,P,P,P,P,P,A,,,P,P,P,P,P,,,",
SOC001,2,5,C,681101429,"P,,,,P,P,,P,,,P,P,,A,P,,,",
HCM213,67,20,C,681101453,"P,A,P,P,P,P,P,P,P,P,P,P,P,A,P,,,",
PHE156,67,23,C,681101453,"P,A,P,P,P,P,A,A,,,P,,A,P,P,A,,,",
SOC001,67,27,C,681101453,"P,P,P,S,P,P,P,P,S,P,,P,,,,,,",
PHE156,67,22,C,681101479,"P,P,P,P,P,P,P,P,,,P,,P,P,P,P,,,",
SOC115,67,20,C,681101479,"P,,P,,P,,P,P,,,,S,,P,,,,",
COM101,1,21,C,681101487,"S,P,P,P,P,P,P,P,,,P,P,P,P,P,P,,",
COM101,1,21,L,681101487,"S,P,P,P,,P,P,P,,,,,,P,,P,,",
DCM102,1,21,C,681101487,"P,P,S,P,P,P,P,P,P,S,P,,,,,,,,",
DCM201,1,21,C,681101487,"A,A,P,P,P,,P,P,,,L,P,P,P,,,,",
DCM202,1,21,C,681101487,"A,S,P,,P,P,P,,,,P,P,P,P,P,,,",
SOC001,2,20,C,681101487,",P,P,P,P,P,,,,,,,,,,,,",
COM101,67,1,C,681101495,",,,,,,,,,,,P,P,,P,P,,",
COM101,67,1,L,681101495,",,,,,,,,,,,P,P,,P,P,,",
ECE232,67,1,C,681101495,"P,P,P,P,,,,,,,,,,,,,,,",
ECE339,67,1,C,681101495,",,P,,,,,,,,,,,,,,,",
EDU201,67,1,C,681101495,"A,P,P,P,P,P,P,P,P,P,P,S,P,A,P,,,",
SOC112,67,1,C,681101495,"S,P,P,P,P,,P,P,,,P,A,S,P,P,P,,",
COM101,1,4,C,681101534,",,,,,,,,,,,,,,,,,",
COM101,1,4,L,681101534,",,,,,,,,,,,,,,,,,",
ENG102,1,3,C,681101534,"P,P,P,P,A,P,P,A,,,S,P,P,P,,P,,",
ITD102,1,1,C,681101534,"P,P,P,P,P,P,L,P,,P,L,P,A,P,P,P,,,",
ITD102,1,1,L,681101534,",,,,,,,,,,,,,,,,,,",
ITD211,1,1,C,681101534,"P,P,P,P,P,S,P,P,,,P,S,P,S,P,,,",
ITD470,1,1,C,681101534,"P,P,P,P,P,P,A,P,,,P,P,P,P,P,,,",
MAT201,1,1,C,681101534,"P,A,P,P,A,P,A,P,,,P,P,P,P,A,,,",
SOC001,2,5,C,681101534,"P,,,,A,A,,P,,,P,P,,A,P,,,",
PHE130,67,1,C,681101542,"P,P,P,P,P,P,P,P,,P,P,P,P,P,,,,",
SOC114,67,1,C,681101542,",,,,,,,,,,,,,,,,,,",
PHC270,68,1,C,681101542,",,,,,,,,,,,,,,,,,",
COM101,1,4,C,681101550,",,,,,,,,,,,,,,,,,",
COM101,1,4,L,681101550,",,,,,,,,,,,,,,,,,",
ENG102,1,3,C,681101550,"P,P,P,P,P,P,P,A,,,S,P,P,S,,P,,",
ITD102,1,1,C,681101550,"P,P,P,P,P,P,L,P,,P,L,P,A,P,P,P,,,",
ITD102,1,1,L,681101550,",,,,,,,,,,,,,,,,,,",
ITD211,1,1,C,681101550,"P,S,P,P,P,P,P,P,,,P,S,P,P,P,,,",
ITD470,1,1,C,681101550,"P,P,P,P,P,P,P,P,,,P,P,P,P,P,,,",
MAT201,1,1,C,681101550,"P,P,P,P,A,P,P,P,,,P,P,P,P,A,,,",
SOC001,2,5,C,681101550,"P,,,,P,P,,P,,,P,P,,A,P,,,",
COM101,67,1,C,681101607,",,,,,,,,,,,P,P,,P,P,,",
COM101,67,1,L,681101607,",,,,,,,,,,,P,P,,P,P,,",
ECE232,67,1,C,681101607,"P,P,P,P,,,,,,,,,,,,,,,",
ECE339,67,1,C,681101607,",,P,,,,,,,,,,,,,,,",
EDU201,67,1,C,681101607,"P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,",
SOC112,67,1,C,681101607,"P,P,P,P,P,,P,P,,,P,P,P,P,P,P,,",
COM101,67,23,C,681101746,"P,P,P,P,P,P,P,P,,,P,P,P,P,A,,,",
COM101,67,23,L,681101746,",,,,,,,,,,,,,,,,,",
DBT201,67,20,C,681101746,"P,P,P,S,P,P,P,P,,,P,S,P,S,P,P,,",
DBT201,67,20,L,681101746,"P,P,P,S,P,P,P,P,,,P,S,P,S,P,P,,",
GBE311,67,20,C,681101746,",,,,,,,,,,,,,,,,,",
PHE156,67,23,C,681101746,"P,P,P,P,A,P,P,A,,,P,,P,P,A,A,,,",
PHE156,67,22,C,681102069,"P,P,A,P,P,P,P,P,,,A,,P,P,P,P,,,",
SOC115,67,20,C,681102069,"P,,P,,P,,P,P,,,,P,,P,,,,",
COM101,1,20,C,681102213,"P,P,P,P,P,P,P,S,,,P,P,P,P,P,,,",
COM101,1,20,L,681102213,"P,P,P,P,,P,P,S,,,,P,,,,,,",
DCM102,1,20,C,681102213,"P,P,P,P,P,P,P,P,P,P,P,,,,,,,",
DCM201,1,20,C,681102213,"A,P,P,P,P,P,P,P,P,,P,P,L,P,P,,,,",
DCM202,1,20,C,681102213,"P,P,P,,P,P,P,P,,,P,P,P,P,P,P,,",
ENG102,1,20,C,681102213,",,,,,,,,,,,,,,,,,,",
SOC001,2,20,C,681102213,",P,A,P,P,P,,,,,,,,,,,,",
COM101,1,20,C,681102239,"P,S,P,P,P,P,P,S,,,P,S,P,P,S,,,",
COM101,1,20,L,681102239,"P,S,P,P,,P,P,S,,,,P,,,,,,",
DCM102,1,20,C,681102239,"P,P,P,P,P,P,P,P,P,P,P,,,,,,,",
DCM201,1,20,C,681102239,"P,P,P,P,P,P,P,P,P,,P,P,A,P,P,,,,",
DCM202,1,20,C,681102239,"S,P,P,,P,P,S,P,,,P,P,S,P,P,P,,",
ENG102,1,20,C,681102239,",,,,,,,,,,,,,,,,,,",
SOC001,2,20,C,681102239,",A,A,P,P,P,,,,,,,,,,,,",
ACC221,2,20,C,681102310,",,,,,,,,,,,,,,,,,",
ENG102,1,23,C,681102310,"P,L,P,P,P,P,P,P,,,S,P,P,P,P,P,,",
MAT101,1,20,C,681102310,"P,P,S,P,,,,,,,,,,,,,,,",
PHE156,1,21,C,681102310,"P,A,P,P,P,P,P,P,,,P,,P,A,P,P,,",
SCI102,1,21,C,681102310,"P,S,,,,,,,,,,,,,,,,",
SOC001,2,23,C,681102310,"P,P,,,P,P,P,,,,,,,,,,,",
ACC301,1,1,C,681102328,",P,P,,P,,P,P,,,,P,P,L,,P,,",
DBT201,1,1,C,681102328,"S,P,P,S,P,P,,,,,,,,,,,,",
DBT201,1,1,L,681102328,"S,P,P,S,P,,,,,,,,,,,,,",
DBT471,1,1,C,681102328,"A,P,P,P,A,P,P,A,,,P,P,A,P,P,,,",
ENG102,1,3,C,681102328,"A,P,P,P,P,A,P,P,,,A,P,S,P,,,,",
LAW202,1,1,C,681102328,"S,P,P,S,P,P,P,P,S,P,P,P,P,P,P,,,",
SOC001,2,5,C,681102328,"A,,,,L,P,,,,,L,A,,P,P,,,",
COM101,67,2,C,681102425,",,,,,,,,,,,,,,,,,",
COM101,67,2,L,681102425,",,,,,,,,,,,,,,,,,",
EDU191,67,1,C,681102425,",,,,,,,,,,,,,,,,,,",
ENG102,1,2,C,681102425,"A,A,,L,A,L,A,L,,,,,,,,A,,",
PES131,67,2,C,681102425,",,,,,,,,,,,,,,,,,,",
PES154,67,1,C,681102425,",,,,,,,,,,,,,,,,,",
PES224,67,1,C,681102425,"L,A,A,A,A,L,L,A,A,A,A,A,A,L,,,,",
PHE161,67,1,C,681102425,"A,A,P,P,A,P,A,A,,,,,,A,,,,",
SOC001,67,2,C,681102425,",,,,,,,,,,,,,,,,,",
PHE002,67,1,C,681102425,",,,,,,,,,,,,,,,,,",
AVB151,1,20,C,681102433,"P,P,P,P,P,P,P,P,,,P,,,,,,,",
ENG102,2,24,C,681102433,"P,,P,P,P,P,P,P,P,,P,P,,,P,,,,",
AVB151,1,20,C,681102441,"P,P,P,P,P,P,P,P,,,S,,,,,,,",
ENG102,2,24,C,681102441,"P,,P,P,P,P,P,P,P,,P,S,,,P,,,,",
HSC121,1,1,C,681102506,",,,,,,,,,,,,,,,,,",
HSC123,1,1,C,681102506,"P,P,P,P,P,P,P,P,,P,P,S,P,P,P,,,,",
HSC223,1,1,C,681102506,"P,P,P,P,P,P,P,P,P,,P,P,P,P,,,,",
HSC224,1,1,C,681102506,",,,,,,,,,,,,,,,,,",
HSC283,1,1,C,681102506,"P,P,P,P,,,,,,,,,,,,,,",
SOC116,1,1,C,681102506,"P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,,,",
HSC121,1,1,C,681102522,",,,,,,,,,,,,,,,,,",
HSC123,1,1,C,681102522,"P,P,P,P,P,P,P,P,,P,P,P,P,P,P,,,,",
HSC223,1,1,C,681102522,"P,P,P,P,P,P,P,P,P,,P,P,P,P,,,,",
HSC224,1,1,C,681102522,",,,,,,,,,,,,,,,,,",
HSC283,1,1,C,681102522,"P,P,P,P,,,,,,,,,,,,,,",
SOC116,1,1,C,681102522,"P,P,P,P,P,P,S,P,P,P,P,P,P,S,S,,,",
HSC121,1,1,C,681102556,",,,,,,,,,,,,,,,,,",
HSC123,1,1,C,681102556,"P,P,P,P,P,P,P,P,,P,P,P,P,A,P,,,,",
HSC223,1,1,C,681102556,"P,P,P,P,P,P,P,P,P,,P,P,P,P,,,,",
HSC283,1,1,C,681102556,"P,P,P,A,,,,,,,,,,,,,,",
SOC116,1,1,C,681102556,"P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,",
ACC101,1,20,C,681102580,"L,P,P,P,L,P,P,P,,,L,A,A,P,P,,,",
COM101,1,22,C,681102580,"P,P,P,P,L,L,P,P,,,L,P,L,L,L,L,,",
COM101,1,22,L,681102580,",,,,,,,,,,,,,,,,,",
ENG102,1,23,C,681102580,"P,P,P,P,P,P,P,P,,,P,P,P,P,P,P,,",
MAT101,1,20,C,681102580,"P,L,P,P,,,,,,,,,,,,,,,",
MGT202,3,20,C,681102580,"P,P,P,P,P,P,P,P,,,P,P,P,P,,P,,,",
PHE156,1,21,C,681102580,"P,P,P,P,P,P,P,P,,,P,,P,P,P,P,,",
SOC001,2,25,C,681102580,",,,,,,,,,,,,,,,,,",
ENG102,67,2,C,681102661,"P,P,P,P,P,L,L,L,,,,,,L,,L,,",
MAT101,67,1,C,681102661,",P,P,P,P,P,P,P,,,P,P,P,,P,P,,,",
PES131,67,1,C,681102661,",,,,,,,P,,,,,,,L,,,",
PES232,67,1,C,681102661,",P,P,,,,,,,,,,,,,,,",
PES335,67,1,C,681102661,",,,,,,,,,,,,,,,,,",
SOC001,67,3,C,681102661,"P,L,P,P,P,P,P,P,P,P,P,P,P,P,,,,",
SPR103,67,1,C,681102661,"L,P,P,P,P,P,P,P,P,P,P,P,P,A,P,,,,",
SPR104,67,1,C,681102661,"P,P,P,P,P,P,P,P,,,P,,P,P,,,,",
SPR128,67,1,C,681102661,"P,P,P,P,P,P,P,P,P,A,L,P,L,L,,,,",
ECO202,1,30,C,681102679,",S,,,,,,,,,,,,,,,,,,,,,,",
ENG311,1,30,C,681102679,",,,,,,,,,,,,,,,,,,,,,,,",
ENG102,1,20,C,681102726,",,,,,,,,,,,,,,,,,,",
LAW104,1,20,C,681102726,"P,P,S,P,P,P,P,P,P,S,P,P,,,,,,",
LAW231,2,20,C,681102726,"S,S,S,P,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
LAW232,2,20,C,681102726,"P,S,S,P,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
PHE156,1,21,C,681102726,"P,P,P,P,P,P,A,P,,,P,,P,P,P,P,,",
SOC001,1,22,C,681102726,"P,P,S,P,P,P,P,P,P,P,P,P,P,,,,,",
ENG102,1,20,C,681102792,",,,,,,,,,,,,,,,,,,",
LAW104,1,20,C,681102792,"P,P,S,P,P,P,P,P,P,P,P,P,,,,,,",
LAW231,2,20,C,681102792,"P,P,S,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
LAW232,2,20,C,681102792,"S,P,S,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
PHE156,1,21,C,681102792,"A,P,P,P,P,P,P,P,,,P,,P,P,P,P,,",
SOC001,1,22,C,681102792,"P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,",
COM101,1,4,C,681102815,",,,,,,,,,,,,,,,,,",
COM101,1,4,L,681102815,",,,,,,,,,,,,,,,,,",
ENG102,1,3,C,681102815,"P,P,P,P,P,P,P,P,,,P,P,P,P,,P,,",
ITD102,1,1,C,681102815,"P,P,L,P,P,L,P,P,,P,P,P,P,P,P,P,,,",
ITD102,1,1,L,681102815,",,,,,,,,,,,,,,,,,,",
ITD211,1,1,C,681102815,"P,P,P,P,L,P,P,P,,,P,P,P,P,P,,,",
ITD470,1,1,C,681102815,"P,P,P,P,P,P,P,P,,,P,P,A,P,P,,,",
MAT201,1,1,C,681102815,"P,P,P,P,P,P,P,P,,,P,P,P,P,P,,,",
SOC001,2,5,C,681102815,"P,,,,P,P,,P,,,P,P,,P,P,,,",
COM101,67,2,C,681102823,",,,,,,,,,,,,,,,,,",
COM101,67,2,L,681102823,",,,,,,,,,,,,,,,,,",
EDU191,67,1,C,681102823,",,,,,,,,,,,,,,,,,,",
ENG102,1,2,C,681102823,"A,A,,P,A,L,A,A,,,,,,,,A,,",
PES131,67,2,C,681102823,",,,,,,,,,,,,,,,,,,",
PES154,67,1,C,681102823,",,,,,,,,,,,,,,,,,",
PES224,67,1,C,681102823,"A,A,A,A,A,A,L,L,A,P,A,P,A,L,,,,",
PHE161,67,1,C,681102823,"A,P,P,P,A,A,A,A,,,,,,A,,,,",
SOC001,67,2,C,681102823,",,,,,,,,,,,,,,,,,",
PHE156,67,23,C,681102831,"P,A,P,A,A,A,A,P,,,A,,A,P,P,A,,,",
SOC001,67,27,C,681102831,"S,P,P,S,P,P,P,P,P,P,,S,P,P,P,,,",
COM101,1,3,C,681102849,"P,P,P,P,A,P,,,,,,,,,,,,",
COM101,1,3,L,681102849,"P,P,P,P,A,P,,,,,,,,,,,,",
DIMA106,1,1,C,681102849,"P,P,P,P,P,P,P,P,P,A,A,P,,,,,,",
DIMA106,1,1,L,681102849,",,,,,,,,,,,,,,,,,",
ENG102,1,3,C,681102849,"P,P,P,P,P,P,A,P,,,P,P,S,L,,P,,",
SOC001,2,4,C,681102849,",,,,,,,,,,,,,,,,,",
HSC121,1,1,C,681102857,",,,,,,,,,,,,,,,,,",
HSC123,1,1,C,681102857,"P,P,A,P,P,P,P,P,,P,P,P,P,P,P,,,,",
HSC223,1,1,C,681102857,"P,P,P,P,P,P,P,P,P,,A,P,P,P,,,,",
HSC224,1,1,C,681102857,",,,,,,,,,,,,,,,,,",
HSC283,1,1,C,681102857,"P,P,P,P,,,,,,,,,,,,,,",
SOC116,1,1,C,681102857,"P,P,P,S,P,P,P,P,P,P,S,P,S,P,P,,,",
ENG102,1,20,C,681102865,",,,,,,,,,,,,,,,,,,",
LAW104,1,20,C,681102865,"S,P,S,S,P,P,P,P,P,P,S,P,,,,,,",
LAW231,2,20,C,681102865,"P,S,S,P,S,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
LAW232,2,20,C,681102865,"S,P,S,P,S,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
PHE156,1,21,C,681102865,"A,P,P,P,P,P,P,P,,,P,,P,P,P,P,,",
SOC001,1,22,C,681102865,"P,P,P,S,P,P,P,P,P,P,P,P,P,,,,,",
ENG102,1,20,C,681102873,",,,,,,,,,,,,,,,,,,",
LAW104,1,20,C,681102873,"S,P,S,S,P,P,P,P,P,P,S,S,,,,,,",
LAW231,2,20,C,681102873,"P,S,S,P,S,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
LAW232,2,20,C,681102873,"S,P,S,P,S,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
PHE156,1,21,C,681102873,"A,P,P,P,P,P,P,P,,,P,,P,A,P,P,,",
SOC001,1,22,C,681102873,"P,P,P,S,P,P,P,P,P,P,P,P,P,,,,,",
COM101,1,20,C,681102881,"P,P,P,P,S,P,P,S,,,P,P,S,P,S,,,",
COM101,1,20,L,681102881,"P,P,P,P,,P,P,S,,,,S,,,,,,",
DCM102,1,20,C,681102881,"P,P,P,P,P,P,P,S,P,P,P,,,,,,,",
DCM201,1,20,C,681102881,"P,P,P,P,P,P,P,P,P,,S,P,L,P,P,,,,",
DCM202,1,20,C,681102881,"P,P,L,,P,P,P,P,,,A,P,L,P,P,P,,",
ENG102,1,20,C,681102881,",,,,,,,,,,,,,,,,,,",
SOC001,2,20,C,681102881,",P,A,P,P,P,,,,,,,,,,,,",
COM101,1,20,C,681102912,"P,P,P,P,P,P,P,P,,,P,P,P,P,P,,,",
COM101,1,20,L,681102912,"P,P,P,P,,P,P,P,,,,P,,,,,,",
DCM102,1,20,C,681102912,"P,P,P,P,P,P,P,P,P,P,P,,,,,,,",
DCM201,1,20,C,681102912,"P,P,P,P,P,P,P,P,P,,P,L,P,S,P,,,,",
DCM202,1,20,C,681102912,"P,L,P,,S,L,P,L,,,P,A,P,P,P,P,,",
ENG102,1,20,C,681102912,",,,,,,,,,,,,,,,,,,",
SOC001,2,20,C,681102912,",P,P,P,P,P,,,,,,,,,,,,",
ENG102,1,20,C,681102954,",,,,,,,,,,,,,,,,,,",
LAW104,1,20,C,681102954,"P,S,S,P,P,S,P,P,P,P,P,P,,,,,,",
LAW231,2,20,C,681102954,"S,P,S,P,S,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
LAW232,2,20,C,681102954,"P,P,S,P,S,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
PHE156,1,21,C,681102954,"P,A,P,P,P,A,P,P,,,P,,P,P,P,P,,",
SOC001,1,22,C,681102954,"P,P,S,P,P,P,P,P,P,P,P,P,P,,,,,",
HCM213,67,20,C,681102970,"P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,,,",
PHE156,67,23,C,681102970,"P,P,P,P,P,P,P,P,,,P,,P,P,P,P,,,",
SOC001,67,27,C,681102970,"P,P,P,P,P,P,P,P,P,P,,P,,,,,,",
HCM212,67,365,C,681102988,"A,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
HCM223,67,65,C,681102988,"L,A,S,P,P,A,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
LIB102,67,65,C,681102988,",,,,,,,,,,,,,,,,A,,A,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,",
PHE156,67,66,C,681102988,"P,,,,,,,,",
ENG102,1,20,C,681102996,",,,,,,,,,,,,,,,,,,",
LAW104,1,20,C,681102996,"P,P,S,P,P,S,P,P,P,P,P,P,,,,,,",
LAW231,2,20,C,681102996,"P,S,S,P,S,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
LAW232,2,20,C,681102996,"P,S,S,P,S,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
PHE156,1,21,C,681102996,"P,P,P,P,P,A,P,P,,,P,,P,P,P,P,,",
SOC001,1,22,C,681102996,"P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,",
COM101,1,4,C,681103015,",,,,,,,,,,,,,,,,,",
COM101,1,4,L,681103015,",,,,,,,,,,,,,,,,,",
ENG102,1,3,C,681103015,"P,A,P,P,A,P,P,P,,,P,S,P,P,,P,,",
ITD102,1,1,C,681103015,"P,P,P,P,P,P,P,P,,P,P,P,P,P,P,P,,,",
ITD102,1,1,L,681103015,",,,,,,,,,,,,,,,,,,",
ITD211,1,1,C,681103015,"P,P,P,P,P,P,P,P,,,P,P,P,P,P,,,",
ITD470,1,1,C,681103015,"P,P,P,P,P,P,P,P,,,P,P,P,P,P,,,",
MAT201,1,1,C,681103015,"P,P,P,P,A,P,P,P,,,P,P,P,P,P,,,",
SOC001,2,5,C,681103015,"P,,,,P,P,,P,,,P,P,,A,,,,",
BUS202,68,20,C,681103112,",L,,,,P,P,L,,P,L,P,,,L,L,,",
LSC111,68,20,C,681103112,",,,,,,,,,,,,,,,,,",
LSC112,68,20,C,681103112,"A,A,,P,,P,A,P,,,P,A,P,S,,P,,",
PHE156,67,22,C,681103112,"P,P,A,A,P,P,A,P,,,P,,P,P,P,A,,,",
COM101,1,4,C,681103120,",,,,,,,,,,,,,,,,,",
COM101,1,4,L,681103120,",,,,,,,,,,,,,,,,,",
ENG102,1,3,C,681103120,"P,P,P,P,A,P,P,A,,,P,P,P,P,,P,,",
ITD102,1,1,C,681103120,"P,P,L,P,L,L,L,P,,P,L,L,L,P,L,P,,,",
ITD102,1,1,L,681103120,",,,,,,,,,,,,,,,,,,",
ITD211,1,1,C,681103120,"P,P,P,P,P,S,P,P,,,P,P,P,S,P,,,",
ITD470,1,1,C,681103120,"P,P,P,P,P,P,P,P,,,A,L,P,P,P,,,",
MAT201,1,1,C,681103120,"P,P,P,P,P,A,P,P,,,P,P,A,A,P,,,",
SOC001,2,5,C,681103120,"L,,,,P,P,,P,,,P,P,,P,P,,,",
COM101,67,23,C,681103146,"P,A,L,P,L,P,P,P,,,P,P,A,A,P,,,",
COM101,67,23,L,681103146,",,,,,,,,,,,,,,,,,",
DBT201,67,20,C,681103146,"P,S,P,P,P,P,P,P,,,S,S,S,,,,,",
DBT201,67,20,L,681103146,"P,S,P,S,P,P,P,P,,,S,S,S,,,,,",
GBE311,67,20,C,681103146,",,,,,,,,,,,,,,,,,",
PHE156,67,23,C,681103146,"P,A,P,P,P,P,P,P,,,P,,P,A,A,A,,,",
COM101,1,3,C,681103201,"A,A,P,P,S,P,,,,,,,,,,,,",
COM101,1,3,L,681103201,"A,A,P,P,S,P,,,,,,,,,,,,",
DIMA106,1,1,C,681103201,"P,P,A,P,P,P,P,,P,P,P,P,,,,,,",
DIMA106,1,1,L,681103201,",,,,,,,,,,,,,,,,,",
ENG102,1,3,C,681103201,"P,P,P,P,S,P,P,A,,,P,A,P,P,,P,,",
SOC001,2,4,C,681103201,",,,,,,,,,,,,,,,,,",
COM101,1,3,C,681103227,"A,A,P,P,P,P,,,,,,,,,,,,",
COM101,1,3,L,681103227,"A,A,P,P,P,P,,,,,,,,,,,,",
DIMA106,1,1,C,681103227,"P,P,A,P,P,P,P,,P,P,P,P,,,,,,",
DIMA106,1,1,L,681103227,",,,,,,,,,,,,,,,,,",
ENG102,1,3,C,681103227,"P,A,P,P,P,P,P,P,,,P,P,P,P,,P,,",
SOC001,2,4,C,681103227,",,,,,,,,,,,,,,,,,",
HSC121,1,1,C,681103285,",,,,,,,,,,,,,,,,,",
HSC123,1,1,C,681103285,"P,P,P,P,P,P,P,P,,P,P,P,P,A,P,,,,",
HSC223,1,1,C,681103285,"P,P,P,P,P,P,P,P,P,,P,P,P,P,,,,",
HSC224,1,1,C,681103285,",,,,,,,,,,,,,,,,,",
HSC283,1,1,C,681103285,"P,P,P,A,,,,,,,,,,,,,,",
SOC116,1,1,C,681103285,"P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,",
EVM314,1,20,C,661104198,",,,,,,,,,,,,,,,,,",
EVM315,1,20,C,661104198,",,,,,,,,,,,,,,,,,",
ITD442,1,1,C,661104318,"P,P,,,P,,P,,P,,,,P,P,,,",
ITD461,1,1,C,661104318,",P,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
MAT202,1,1,C,661104318,",,,,,,,,,,,A,P,,,,,",
ITD323,1,1,C,661104318,"P,P,P,P,,P,P,,,,,,,,,,",
AVB251,1,20,C,661104392,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
AVB351,1,20,C,661104392,"P,P,P,P,P,P,L,,,,P,P,,,,P,,,",
AVB353,1,20,C,661104392,"P,P,A,P,P,P,P,P,,,P,P,P,P,P,P,,",
AVB363,2,20,C,661104392,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
ACC301,1,20,C,661104431,",P,,P,P,P,P,P,,,P,P,,,,P,,",
DBT202,1,20,C,661104431,"P,P,P,P,P,P,P,P,,,P,P,P,P,P,S,,,",
DBT202,1,20,L,661104431,",,,,,,,,,,,,,,,,,,",
MGT321,2,20,C,661104431,",,,,,,,,,,,,,,,,,,",
BSC202,2,20,C,661104512,"S,S,S,,P,P,S,P,,,S,,,,,,,,",
